iter	Logloss
0	0.6205867758
1	0.5652983092
2	0.5316228139
3	0.5085074413
4	0.4864138027
5	0.4732459212
6	0.4594924425
7	0.4507062429
8	0.4408884049
9	0.4328555866
10	0.427564955
11	0.4235273602
12	0.4187712349
13	0.4148503798
14	0.4100139992
15	0.4046942191
16	0.4005463552
17	0.398762501
18	0.3960618178
19	0.3930799295
20	0.3900215078
21	0.3879257126
22	0.3855860087
23	0.382713691
24	0.3788227487
25	0.3768707056
26	0.3760640626
27	0.3747423102
28	0.3730139282
29	0.3725496811
30	0.3724688729
31	0.3706725716
32	0.369075966
33	0.3677032527
34	0.366961525
35	0.3650861765
36	0.363754316
37	0.3622344375
38	0.3582356133
39	0.3567738073
40	0.3551465744
41	0.3550265694
42	0.3549434582
43	0.3548672255
44	0.35355035
45	0.3534838599
46	0.3497644161
47	0.348672303
48	0.3468597161
49	0.3467843434
50	0.3466007954
51	0.3418137769
52	0.341746369
53	0.3416292348
54	0.3414262351
55	0.3409747522
56	0.3393935128
57	0.3391477272
58	0.3378941907
59	0.3377958033
60	0.337680091
61	0.3375883771
62	0.3375361983
63	0.3371701337
64	0.3363291425
65	0.3362572475
66	0.3362124417
67	0.3360998526
68	0.3335803737
69	0.3334806965
70	0.3334361628
71	0.3316695463
72	0.3314034443
73	0.329472854
74	0.3294261732
75	0.3275469786
76	0.3250723654
77	0.3234166516
78	0.3230866333
79	0.3219188106
80	0.3218610071
81	0.3217874808
82	0.3202096415
83	0.3200696911
84	0.3199702443
85	0.3197986187
86	0.3174297233
87	0.3171223695
88	0.314258752
89	0.3129748783
90	0.3129398691
91	0.3125441119
92	0.3125069966
93	0.311376153
94	0.3113394308
95	0.3113013932
96	0.3107453812
97	0.3085353012
98	0.3075002342
99	0.3074068521
