iter	Passed	Remaining
0	6	664
1	12	631
2	17	571
3	22	546
4	27	527
5	32	514
6	37	493
7	41	476
8	45	459
9	49	445
10	53	436
11	59	433
12	63	422
13	67	413
14	71	405
15	75	397
16	79	390
17	84	382
18	87	373
19	91	365
20	94	356
21	98	348
22	102	341
23	105	334
24	109	329
25	113	322
26	116	315
27	120	309
28	125	307
29	129	302
30	133	298
31	137	292
32	141	286
33	145	282
34	149	278
35	153	272
36	157	267
37	160	262
38	164	256
39	168	252
40	171	247
41	175	242
42	178	237
43	182	231
44	185	227
45	189	222
46	193	217
47	196	213
48	200	208
49	203	203
50	207	199
51	210	194
52	214	190
53	218	185
54	223	182
55	227	178
56	231	174
57	235	170
58	240	166
59	248	165
60	252	161
61	256	157
62	261	153
63	266	149
64	270	145
65	275	141
66	279	137
67	283	133
68	287	129
69	291	124
70	295	120
71	298	116
72	302	111
73	305	107
74	309	103
75	313	98
76	316	94
77	321	90
78	324	86
79	328	82
80	331	77
81	335	73
82	338	69
83	342	65
84	346	61
85	349	56
86	353	52
87	356	48
88	360	44
89	364	40
90	368	36
91	371	32
92	375	28
93	379	24
94	382	20
95	386	16
96	391	12
97	395	8
98	399	4
99	403	0
